cod_ibge,municipio,uf,subitem_lc116,descricao_servico,aliquota_iss,lei_municipal,data_atualizacao
3550308,São Paulo,SP,1.01,Análise e desenvolvimento de sistemas,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.02,Programação,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.03,Processamento de dados,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.04,Elaboração de programas,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.05,Licenciamento de programas,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.06,Assessoria TI,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.07,Suporte técnico TI,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.08,Planejamento TI,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,1.09,Configuração hardware/software,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,2.01,Serviços de pesquisas,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.01,Medicina e biomedicina,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.02,Análises clínicas,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.03,Hospitais,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.06,Enfermagem,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.11,Odontologia,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.14,Psicanálise,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.15,Psicologia,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,4.23,Planos de saúde,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,5.01,Medicina veterinária,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,6.01,Barbearia e cabeleireiros,5.0,Lei 13701/2003,2025-01-15
3550308,São Paulo,SP,6.02,Esteticistas,5.0,Lei 13701/2003,2025-01-15
